id,"sektor","naziv_sektora","podrucje","djelatnost","naziv_djelatnosti"
1,"A","Poljoprivreda, šumarstvo i ribarstvo","01","11"," Uzgoj žitarica (osim riže), mahunarki i uljanog sjemenja"
2,"A","Poljoprivreda, šumarstvo i ribarstvo","01","12"," Uzgoj riže"
3,"A","Poljoprivreda, šumarstvo i ribarstvo","01","13","Uzgoj povrća, dinja i lubenica, korjenastog i gomoljastog povrća"
4,"A","Poljoprivreda, šumarstvo i ribarstvo","01","14","Uzgoj šećerne trske"
5,"A","Poljoprivreda, šumarstvo i ribarstvo","01","15","Uzgoj duhana"
6,"A","Poljoprivreda, šumarstvo i ribarstvo","01","16","Uzgoj predivog bilja "
7,"A","Poljoprivreda, šumarstvo i ribarstvo","01","19","Uzgoj ostalih jednogodišnjih usjeva "
8,"A","Poljoprivreda, šumarstvo i ribarstvo","01","21","Uzgoj grožđa "
9,"A","Poljoprivreda, šumarstvo i ribarstvo","01","22","Uzgoj tropskog i suptropskog voća"
10,"A","Poljoprivreda, šumarstvo i ribarstvo","01","23","Uzgoj agruma"
11,"A","Poljoprivreda, šumarstvo i ribarstvo","01","24","Uzgoj jezgričavog i koštuničavog voća"
12,"A","Poljoprivreda, šumarstvo i ribarstvo","01","25","Uzgoj bobičastog, orašastog i ostalog voća "
13,"A","Poljoprivreda, šumarstvo i ribarstvo","01","26","Uzgoj uljanih plodova"
14,"A","Poljoprivreda, šumarstvo i ribarstvo","01","27","Uzgoj usjeva za pripremanje napitaka"
15,"A","Poljoprivreda, šumarstvo i ribarstvo","01","28","Uzgoj bilja za uporabu u farmaciji, aromatskog, začinskog i ljekovitog bilja "
16,"A","Poljoprivreda, šumarstvo i ribarstvo","01","29","Uzgoj ostalih višegodišnjih usjeva "
17,"A","Poljoprivreda, šumarstvo i ribarstvo","01","30","Uzgoj sadnog materijala i ukrasnog bilja"
18,"A","Poljoprivreda, šumarstvo i ribarstvo","01","41","Uzgoj muznih krava"
19,"A","Poljoprivreda, šumarstvo i ribarstvo","01","42","Uzgoj ostalih goveda i bivola"
20,"A","Poljoprivreda, šumarstvo i ribarstvo","01","43","Uzgoj konja, magaraca, mula i mazgi"
21,"A","Poljoprivreda, šumarstvo i ribarstvo","01","44","Uzgoj deva i ljama"
22,"A","Poljoprivreda, šumarstvo i ribarstvo","01","45","Uzgoj ovaca i koza"
23,"A","Poljoprivreda, šumarstvo i ribarstvo","01","46","Uzgoj svinja"
24,"A","Poljoprivreda, šumarstvo i ribarstvo","01","47","Uzgoj peradi"
25,"A","Poljoprivreda, šumarstvo i ribarstvo","01","49","Uzgoj ostalih životinja "
26,"A","Poljoprivreda, šumarstvo i ribarstvo","01","50","Mješovita proizvodnja"
27,"A","Poljoprivreda, šumarstvo i ribarstvo","01","61","Pomoćne djelatnosti za uzgoj usjeva"
28,"A","Poljoprivreda, šumarstvo i ribarstvo","01","62","Pomoćne djelatnosti za uzgoj životinja"
29,"A","Poljoprivreda, šumarstvo i ribarstvo","01","63","Djelatnosti koje se obavljaju nakon žetve usjeva (priprema usjeva za primarna tržišta)"
30,"A","Poljoprivreda, šumarstvo i ribarstvo","01","64","Dorada sjemena za sjemenski materijal"
31,"A","Poljoprivreda, šumarstvo i ribarstvo","01","70","Lov, stupičarenje i uslužne djelatnosti povezane s njima"
32,"A","Poljoprivreda, šumarstvo i ribarstvo","02","10","Uzgoj šuma i ostale djelatnosti u šumarstvu povezane s njime"
33,"A","Poljoprivreda, šumarstvo i ribarstvo","02","20","Sječa drva "
34,"A","Poljoprivreda, šumarstvo i ribarstvo","02","30","Skupljanje šumskih plodova i proizvoda, osim šumskih sortimenata"
35,"A","Poljoprivreda, šumarstvo i ribarstvo","02","40","Pomoćne usluge u šumarstvu"
36,"A","Poljoprivreda, šumarstvo i ribarstvo","03","11","Morski ribolov"
37,"A","Poljoprivreda, šumarstvo i ribarstvo","03","12","Slatkovodni ribolov"
38,"A","Poljoprivreda, šumarstvo i ribarstvo","03","21","Morska akvakultura"
39,"A","Poljoprivreda, šumarstvo i ribarstvo","03","22","Slatkovodna akvakultura"
40,"B","Rudarstvo i vađenje","05","10","Vađenje kamenog ugljena"
41,"B","Rudarstvo i vađenje","05","20","Vađenje lignita"
42,"B","Rudarstvo i vađenje","06","10","Vađenje sirove nafte "
43,"B","Rudarstvo i vađenje","06","20","Vađenje prirodnog plina"
44,"B","Rudarstvo i vađenje","07","10","Vađenje željeznih ruda"
45,"B","Rudarstvo i vađenje","07","21","Vađenje uranovih i torijevih ruda"
46,"B","Rudarstvo i vađenje","07","29","Vađenje ostalih ruda obojenih metala"
47,"B","Rudarstvo i vađenje","08","11","Vađenje ukrasnoga kamena i kamena za gradnju, vapnenca, gipsa, krede i škriljevca"
48,"B","Rudarstvo i vađenje","08","12","Djelatnosti šljunčara i pješčara; vađenje gline i kaolina"
49,"B","Rudarstvo i vađenje","08","91","Vađenje minerala za kemikalije i gnojiva"
50,"B","Rudarstvo i vađenje","08","92","Vađenje treseta"
51,"B","Rudarstvo i vađenje","08","93","Vađenje soli"
52,"B","Rudarstvo i vađenje","08","99","Vađenje ostalih ruda i kamena, dn"
53,"B","Rudarstvo i vađenje","09","10","Pomoćne djelatnosti za vađenje nafte i prirodnog plina"
54,"B","Rudarstvo i vađenje","09","90","Pomoćne djelatnosti za ostalo rudarstvo i vađenje"
55,"C","Prerađivačka industrija","10","11","Prerada i konzerviranje mesa"
56,"C","Prerađivačka industrija","10","12","Prerada i konzerviranje mesa peradi"
57,"C","Prerađivačka industrija","10","13","Proizvodnja proizvoda od mesa i mesa peradi"
58,"C","Prerađivačka industrija","10","20","Prerada i konzerviranje riba, rakova i školjki "
59,"C","Prerađivačka industrija","10","31","Prerada i konzerviranje krumpira"
60,"C","Prerađivačka industrija","10","32","Proizvodnja sokova od voća i povrća"
61,"C","Prerađivačka industrija","10","39","Ostala prerada i konzerviranje voća i povrća "
62,"C","Prerađivačka industrija","10","41","Proizvodnja ulja i masti"
63,"C","Prerađivačka industrija","10","42","Proizvodnja margarina i sličnih jestivih masti"
64,"C","Prerađivačka industrija","10","51","Djelatnosti mljekara i proizvođača sira"
65,"C","Prerađivačka industrija","10","52","Proizvodnja sladoleda"
66,"C","Prerađivačka industrija","10","61","Proizvodnja mlinskih proizvoda"
67,"C","Prerađivačka industrija","10","62","Proizvodnja škroba i škrobnih proizvoda"
68,"C","Prerađivačka industrija","10","71","Proizvodnja kruha; proizvodnja svježih peciva, slastičarskih proizvoda i kolača"
69,"C","Prerađivačka industrija","10","72","Proizvodnja dvopeka, keksa i srodnih proizvoda; proizvodnja trajnih peciva, slastičarskih proizvoda i kolača"
70,"C","Prerađivačka industrija","10","73","Proizvodnja makarona, njoka, kuskusa i slične tjestenine"
71,"C","Prerađivačka industrija","10","81","Proizvodnja šećera"
72,"C","Prerađivačka industrija","10","82","Proizvodnja kakao, čokoladnih i bombonskih proizvoda"
73,"C","Prerađivačka industrija","10","83","Prerada čaja i kave"
74,"C","Prerađivačka industrija","10","84","Proizvodnja začina i drugih dodataka hrani"
75,"C","Prerađivačka industrija","10","85","Proizvodnja gotove hrane i jela"
76,"C","Prerađivačka industrija","10","86","Proizvodnja homogeniziranih prehrambenih pripravaka i dijetetske hrane"
77,"C","Prerađivačka industrija","10","89","Proizvodnja ostalih prehrambenih proizvoda, dn "
78,"C","Prerađivačka industrija","10","91","Proizvodnja pripremljene stočne hrane"
79,"C","Prerađivačka industrija","10","92","Proizvodnja pripremljene hrane za kućne ljubimce"
80,"C","Prerađivačka industrija","11","01","Destiliranje, pročišćavanje i miješanje alkoholnih pića"
81,"C","Prerađivačka industrija","11","02","Proizvodnja vina od grožđa"
82,"C","Prerađivačka industrija","11","03","Proizvodnja jabukovače i ostalih voćnih vina"
83,"C","Prerađivačka industrija","11","04","Proizvodnja ostalih nedestiliranih fermentiranih pića"
84,"C","Prerađivačka industrija","11","05","Proizvodnja piva"
85,"C","Prerađivačka industrija","11","06","Proizvodnja slada"
86,"C","Prerađivačka industrija","11","07","Proizvodnja osvježavajućih napitaka; proizvodnja mineralne i drugih flaširanih voda 1200 Proizvodnja duhanskih proizvoda"
87,"C","Prerađivačka industrija","13","10","Priprema i predenje tekstilnih vlakana"
88,"C","Prerađivačka industrija","13","20","Tkanje tekstila"
89,"C","Prerađivačka industrija","13","30","Dovršavanje tekstila"
90,"C","Prerađivačka industrija","13","91","Proizvodnja pletenih i kukičanih tkanina"
91,"C","Prerađivačka industrija","13","92","Proizvodnja gotovih tekstilnih proizvoda, osim odjeće"
92,"C","Prerađivačka industrija","13","93","Proizvodnja tepiha i sagova "
93,"C","Prerađivačka industrija","13","94","Proizvodnja užadi, konopaca, upletenoga konca i mreža"
94,"C","Prerađivačka industrija","13","95","Proizvodnja netkanog tekstila i proizvoda od netkanog tekstila, osim odjeće"
95,"C","Prerađivačka industrija","13","96","Proizvodnja ostaloga tehničkog i industrijskog tekstila"
96,"C","Prerađivačka industrija","13","99","Proizvodnja ostalog tekstila, dn"
97,"C","Prerađivačka industrija","14","11","Proizvodnja kožne odjeće"
98,"C","Prerađivačka industrija","14","12","Proizvodnja radne odjeće "
99,"C","Prerađivačka industrija","14","13","Proizvodnja ostale vanjske odjeće"
100,"C","Prerađivačka industrija","14","14","Proizvodnja ostale vanjske odjeće"
101,"C","Prerađivačka industrija","14","19","Proizvodnja ostale odjeće i pribora za odjeću "
102,"C","Prerađivačka industrija","14","20","Proizvodnja proizvoda od krzna"
103,"C","Prerađivačka industrija","14","31","Proizvodnja pletenih i kukičanih čarapa"
104,"C","Prerađivačka industrija","14","39","Proizvodnja ostale pletene i kukičane odjeće"
105,"C","Prerađivačka industrija","15","11","Štavljenje i obrada kože; dorada i bojenje krzna"
106,"C","Prerađivačka industrija","15","12","Proizvodnja putnih i ručnih torba i slično, sedlarskih i remenarskih proizvoda"
107,"C","Prerađivačka industrija","15","20","Proizvodnja obuće"
108,"C","Prerađivačka industrija","16","10","Piljenje i blanjanje drva"
109,"C","Prerađivačka industrija","16","21","Proizvodnja furnira i ostalih ploča od drva"
110,"C","Prerađivačka industrija","16","22","Proizvodnja sastavljenog parketa"
111,"C","Prerađivačka industrija","16","23","Proizvodnja ostale građevne stolarije i elemenata"
112,"C","Prerađivačka industrija","16","24","Proizvodnja ambalaže od drva"
113,"C","Prerađivačka industrija","16","29","Proizvodnja ostalih proizvoda od drva, proizvoda od pluta, slame i pletarskih materijala"
114,"C","Prerađivačka industrija","17","11","Proizvodnja celuloze"
115,"C","Prerađivačka industrija","17","12","Proizvodnja papira i kartona"
116,"C","Prerađivačka industrija","17","21","Proizvodnja valovitog papira i kartona te ambalaže od papira i kartona"
117,"C","Prerađivačka industrija","17","22","Proizvodnja robe za kućanstvo i higijenu te toaletnih potrepština od papira"
118,"C","Prerađivačka industrija","17","23","Proizvodnja uredskog materijala od papira"
119,"C","Prerađivačka industrija","17","24","Proizvodnja zidnih tapeta"
120,"C","Prerađivačka industrija","17","29","Proizvodnja ostalih proizvoda od papira i kartona"
121,"C","Prerađivačka industrija","18","11","Tiskanje novina"
122,"C","Prerađivačka industrija","18","12","Ostalo tiskanje "
123,"C","Prerađivačka industrija","18","13","Usluge pripreme za tisak i objavljivanje"
124,"C","Prerađivačka industrija","18","14","Knjigoveške i srodne usluge "
125,"C","Prerađivačka industrija","18","20","Umnožavanje snimljenih zapisa"
126,"C","Prerađivačka industrija","19","10","Proizvodnja proizvoda koksnih peći"
127,"C","Prerađivačka industrija","19","20","Proizvodnja rafiniranih naftnih proizvoda"
128,"C","Prerađivačka industrija","20","11","Proizvodnja industrijskih plinova"
129,"C","Prerađivačka industrija","20","12","Proizvodnja koloranata i pigmenata"
130,"C","Prerađivačka industrija","20","13","Proizvodnja ostalih anorganskih osnovnih kemikalija"
131,"C","Prerađivačka industrija","20","14","Proizvodnja ostalih organskih osnovnih kemikalija"
132,"C","Prerađivačka industrija","20","15","Proizvodnja gnojiva i dušičnih spojeva"
133,"C","Prerađivačka industrija","20","16","Proizvodnja plastike u primarnim oblicima"
134,"C","Prerađivačka industrija","20","17","Proizvodnja sintetičkoga kaučuka u primarnim oblicima"
135,"C","Prerađivačka industrija","20","20","Proizvodnja pesticida i drugih agrokemijskih proizvoda"
136,"C","Prerađivačka industrija","20","30","Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova"
137,"C","Prerađivačka industrija","20","41","Proizvodnja sapuna i deterdženata, sredstava za čišćenje i poliranje"
138,"C","Prerađivačka industrija","20","42","Proizvodnja parfema i toaletno-kozmetičkih preparata"
139,"C","Prerađivačka industrija","20","51","Proizvodnja eksploziva"
140,"C","Prerađivačka industrija","20","52","Proizvodnja ljepila "
141,"C","Prerađivačka industrija","20","53","Proizvodnja eteričnih ulja"
142,"C","Prerađivačka industrija","20","59","Proizvodnja ostalih kemijskih proizvoda, dn "
143,"C","Prerađivačka industrija","20","60","Proizvodnja umjetnih vlakana"
144,"C","Prerađivačka industrija","21","10","Proizvodnja osnovnih farmaceutskih proizvoda"
145,"C","Prerađivačka industrija","21","20","Proizvodnja farmaceutskih pripravaka"
146,"C","Prerađivačka industrija","22","11","Proizvodnja vanjskih i unutrašnjih guma za vozila; protektiranje vanjskih guma"
147,"C","Prerađivačka industrija","22","19","Proizvodnja ostalih proizvoda od gume"
148,"C","Prerađivačka industrija","22","21","Proizvodnja ploča, listova, cijevi i profila od plastike"
149,"C","Prerađivačka industrija","22","22","Proizvodnja ambalaže od plastike"
150,"C","Prerađivačka industrija","22","23","Proizvodnja proizvoda od plastike za građevinarstvo"
151,"C","Prerađivačka industrija","22","29","Proizvodnja ostalih proizvoda od plastike"
152,"C","Prerađivačka industrija","23","11","Proizvodnja ravnog stakla"
153,"C","Prerađivačka industrija","23","12","Oblikovanje i obrada ravnog stakla"
154,"C","Prerađivačka industrija","23","13","Proizvodnja šupljeg stakla"
155,"C","Prerađivačka industrija","23","14","Proizvodnja staklenih vlakana"
156,"C","Prerađivačka industrija","23","19","Proizvodnja i obrada ostalog stakla uključujući tehničku robu od stakla"
157,"C","Prerađivačka industrija","23","20","Proizvodnja vatrostalnih proizvoda"
158,"C","Prerađivačka industrija","23","31","Proizvodnja keramičkih pločica i ploča"
159,"C","Prerađivačka industrija","23","32","Proizvodnja opeke, crijepa i ostalih proizvoda od pečene gline za građevinarstvo"
160,"C","Prerađivačka industrija","23","41","Proizvodnja keramičkih proizvoda za kućanstvo i ukrasnih predmeta"
161,"C","Prerađivačka industrija","23","42","Proizvodnja sanitarne keramike "
162,"C","Prerađivačka industrija","23","43","Proizvodnja keramičkih izolatora i izolacijskog pribora"
163,"C","Prerađivačka industrija","23","44","Proizvodnja ostalih tehničkih proizvoda od keramike"
164,"C","Prerađivačka industrija","23","49","Proizvodnja ostalih proizvoda od keramike"
165,"C","Prerađivačka industrija","23","51","Proizvodnja cementa"
166,"C","Prerađivačka industrija","23","52","Proizvodnja vapna i gipsa "
167,"C","Prerađivačka industrija","23","61","Proizvodnja proizvoda od betona za građevinarstvo"
168,"C","Prerađivačka industrija","23","62","Proizvodnja proizvoda od gipsa za građevinarstvo"
169,"C","Prerađivačka industrija","23","63","Proizvodnja gotove betonske smjese"
170,"C","Prerađivačka industrija","23","64","Proizvodnja žbuke"
171,"C","Prerađivačka industrija","23","65","Proizvodnja fibrocementa"
172,"C","Prerađivačka industrija","23","69","Proizvodnja ostalih proizvoda od betona, cementa i gipsa "
173,"C","Prerađivačka industrija","23","70","Rezanje, oblikovanje i obrada kamena"
174,"C","Prerađivačka industrija","23","91","Proizvodnja brusnih proizvoda"
175,"C","Prerađivačka industrija","23","99","Proizvodnja ostalih nemetalnih mineralnih proizvoda, dn"
176,"C","Prerađivačka industrija","24","10","Proizvodnja sirovog željeza, čelika i ferolegura"
177,"C","Prerađivačka industrija","24","20","Proizvodnja čeličnih cijevi i pribora"
178,"C","Prerađivačka industrija","24","31","Hladno vučenje šipki"
179,"C","Prerađivačka industrija","24","32","Hladno valjanje uskih vrpci"
180,"C","Prerađivačka industrija","24","33","Hladno oblikovanje i profiliranje "
181,"C","Prerađivačka industrija","24","34","Hladno vučenje žice"
182,"C","Prerađivačka industrija","24","41","Proizvodnja plemenitih metala"
183,"C","Prerađivačka industrija","24","42","Proizvodnja aluminija"
184,"C","Prerađivačka industrija","24","43","Proizvodnja olova, cinka i kositra"
185,"C","Prerađivačka industrija","24","44","Proizvodnja bakra"
186,"C","Prerađivačka industrija","24","45","Proizvodnja ostalih obojenih metala"
187,"C","Prerađivačka industrija","24","46","Obrada nuklearnoga goriva"
188,"C","Prerađivačka industrija","24","51","Lijevanje željeza"
189,"C","Prerađivačka industrija","24","52","Lijevanje čelika"
190,"C","Prerađivačka industrija","24","53","Lijevanje lakih metala"
191,"C","Prerađivačka industrija","24","54","Lijevanje ostalih obojenih metala"
192,"C","Prerađivačka industrija","25","11","Proizvodnja metalnih konstrukcija i njihovih dijelova"
193,"C","Prerađivačka industrija","25","12","Proizvodnja vrata i prozora od metala"
194,"C","Prerađivačka industrija","25","21","Proizvodnja radijatora i kotlova za centralno grijanje"
195,"C","Prerađivačka industrija","25","29","Proizvodnja ostalih metalnih cisterni, rezervoara i sličnih posuda "
196,"C","Prerađivačka industrija","25","30","Proizvodnja parnih kotlova, osim kotlova za centralno grijanje toplom vodom"
197,"C","Prerađivačka industrija","25","40","Proizvodnja oružja i streljiva"
198,"C","Prerađivačka industrija","25","50","Kovanje, prešanje, štancanje i valjanje metala; metalurgija praha"
199,"C","Prerađivačka industrija","25","61","Obrada i prevlačenje metala"
200,"C","Prerađivačka industrija","25","62","Strojna obrada metala"
201,"C","Prerađivačka industrija","25","71","Proizvodnja sječiva"
202,"C","Prerađivačka industrija","25","72","Proizvodnja brava i okova"
203,"C","Prerađivačka industrija","25","73","Proizvodnja alata"
204,"C","Prerađivačka industrija","25","91","Proizvodnja čeličnih bačava i sličnih posuda "
205,"C","Prerađivačka industrija","25","92","Proizvodnja ambalaže od lakih metala"
206,"C","Prerađivačka industrija","25","93","Proizvodnja proizvoda od žice, lanaca i opruga"
207,"C","Prerađivačka industrija","25","94","Proizvodnja zakovica i vijčane robe"
208,"C","Prerađivačka industrija","25","99","Proizvodnja ostalih gotovih proizvoda od metala, dn"
209,"C","Prerađivačka industrija","26","11","Proizvodnja elektroničkih komponenata  2612 Proizvodnja punih elektroničkih ploča"
210,"C","Prerađivačka industrija","26","20","Proizvodnja računala i periferne opreme"
211,"C","Prerađivačka industrija","26","30","Proizvodnja komunikacijske opreme"
212,"C","Prerađivačka industrija","26","40","Proizvodnja elektroničkih uređaja za široku potrošnju"
213,"C","Prerađivačka industrija","26","51","Proizvodnja instrumenata i aparata za mjerenje, ispitivanje i navigaciju"
214,"C","Prerađivačka industrija","26","52","Proizvodnja satova "
215,"C","Prerađivačka industrija","26","60","Proizvodnja opreme za zračenje, elektromedicinske i elektroterapeutske opreme"
216,"C","Prerađivačka industrija","26","70","Proizvodnja optičkih instrumenata i fotografske opreme"
217,"C","Prerađivačka industrija","26","80","Proizvodnja magnetskih i optičkih medija"
218,"C","Prerađivačka industrija","27","11","Proizvodnja elektromotora, generatora i transformatora"
219,"C","Prerađivačka industrija","27","12","Proizvodnja uređaja za distribuciju i kontrolu električne energije"
220,"C","Prerađivačka industrija","27","20","Proizvodnja baterija i akumulatora"
221,"C","Prerađivačka industrija","27","31","Proizvodnja kablova od optičkih vlakana"
222,"C","Prerađivačka industrija","27","32","Proizvodnja ostalih elektroničkih i električnih žica i kablova"
223,"C","Prerađivačka industrija","27","33","Proizvodnja elektroinstalacijskog materijala 2740 Proizvodnja električne opreme za rasvjetu"
224,"C","Prerađivačka industrija","27","51","Proizvodnja električnih aparata za kućanstvo"
225,"C","Prerađivačka industrija","27","52","Proizvodnja neelektričnih aparata za kućanstvo"
226,"C","Prerađivačka industrija","27","90","Proizvodnja ostale električne opreme"
227,"C","Prerađivačka industrija","28","11","Proizvodnja motora i turbina, osim motora za zrakoplove i motorna vozila"
228,"C","Prerađivačka industrija","28","12","Proizvodnja hidrauličnih pogonskih uređaja"
229,"C","Prerađivačka industrija","28","13","Proizvodnja ostalih crpki i kompresora"
230,"C","Prerađivačka industrija","28","14","Proizvodnja ostalih slavina i ventila"
231,"C","Prerađivačka industrija","28","15","Proizvodnja ležajeva, prijenosnika te prijenosnih i pogonskih elemenata"
232,"C","Prerađivačka industrija","28","21","Proizvodnja peći i plamenika"
233,"C","Prerađivačka industrija","28","22","Proizvodnja uređaja za dizanje i prenošenje"
234,"C","Prerađivačka industrija","28","23","Proizvodnja uredskih strojeva i opreme (osim proizvodnje računala i periferne opreme)"
235,"C","Prerađivačka industrija","28","24","Proizvodnja mehaniziranoga ručnog alata"
236,"C","Prerađivačka industrija","28","25","Proizvodnja rashladne i ventilacijske opreme, osim za kućanstvo"
237,"C","Prerađivačka industrija","28","29","Proizvodnja ostalih strojeva za opće namjene, dn 2830 Proizvodnja strojeva za poljoprivredu i šumarstvo"
238,"C","Prerađivačka industrija","28","41","Proizvodnja strojeva za obradu metala"
239,"C","Prerađivačka industrija","28","49","Proizvodnja ostalih alatnih strojeva"
240,"C","Prerađivačka industrija","28","91","Proizvodnja strojeva za metalurgiju"
241,"C","Prerađivačka industrija","28","92","Proizvodnja strojeva za rudnike, kamenolome i građevinarstvo"
242,"C","Prerađivačka industrija","28","93","Proizvodnja strojeva za industriju hrane, pića i duhana"
243,"C","Prerađivačka industrija","28","94","Proizvodnja strojeva za industriju tekstila, odjeće i kože"
244,"C","Prerađivačka industrija","28","95","Proizvodnja strojeva za industriju papira i kartona"
245,"C","Prerađivačka industrija","28","96","Proizvodnja strojeva za plastiku i gumu"
246,"C","Prerađivačka industrija","28","99","Proizvodnja ostalih strojeva za posebne namjene, dn"
247,"C","Prerađivačka industrija","29","10","Proizvodnja motornih vozila"
248,"C","Prerađivačka industrija","29","20","Proizvodnja karoserija za motorna vozila, prikolica i poluprikolica"
249,"C","Prerađivačka industrija","29","31","Proizvodnja električne i elektroničke opreme za motorna vozila "
250,"C","Prerađivačka industrija","29","32","Proizvodnja ostalih dijelova i pribora za motorna vozila "
251,"C","Prerađivačka industrija","30","11","Gradnja brodova i plutajućih objekata"
252,"C","Prerađivačka industrija","30","12","Gradnja čamaca za razonodu i sportskih čamaca"
253,"C","Prerađivačka industrija","30","20","Proizvodnja željezničkih lokomotiva i tračničkih vozila"
254,"C","Prerađivačka industrija","30","30","Proizvodnja zrakoplova i svemirskih letjelica te srodnih prijevoznih sredstava i opreme"
255,"C","Prerađivačka industrija","30","40","Proizvodnja vojnih borbenih vozila"
256,"C","Prerađivačka industrija","30","91","Proizvodnja motocikala"
257,"C","Prerađivačka industrija","30","92","Proizvodnja bicikala i invalidskih kolica"
258,"C","Prerađivačka industrija","30","99","Proizvodnja ostalih prijevoznih sredstava, dn "
259,"C","Prerađivačka industrija","31","01","Proizvodnja namještaja za poslovne i prodajne prostore"
260,"C","Prerađivačka industrija","31","02","Proizvodnja kuhinjskog namještaja"
261,"C","Prerađivačka industrija","31","03","Proizvodnja madraca"
262,"C","Prerađivačka industrija","31","09","Proizvodnja ostalog namještaja"
263,"C","Prerađivačka industrija","32","11","Proizvodnja novca"
264,"C","Prerađivačka industrija","32","12","Proizvodnja nakita i srodnih proizvoda"
265,"C","Prerađivačka industrija","32","13","Proizvodnja imitacije nakita (bižuterije) i srodnih proizvoda"
266,"C","Prerađivačka industrija","32","20","Proizvodnja glazbenih instrumenata"
267,"C","Prerađivačka industrija","32","30","Proizvodnja sportske opreme"
268,"C","Prerađivačka industrija","32","40","Proizvodnja igara i igračaka"
269,"C","Prerađivačka industrija","32","50","Proizvodnja medicinskih i stomatoloških instrumenata i pribora"
270,"C","Prerađivačka industrija","32","91","Proizvodnja metla i četaka"
271,"C","Prerađivačka industrija","32","99","Ostala prerađivačka industrija, dn "
272,"C","Prerađivačka industrija","33","11","Popravak proizvoda od metala"
273,"C","Prerađivačka industrija","33","12","Popravak strojeva"
274,"C","Prerađivačka industrija","33","13","Popravak elektroničke i optičke opreme"
275,"C","Prerađivačka industrija","33","14","Popravak električne opreme"
276,"C","Prerađivačka industrija","33","15","Popravak i održavanje brodova i čamaca"
277,"C","Prerađivačka industrija","33","16","Popravak i održavanje zrakoplova i svemirskih letjelica"
278,"C","Prerađivačka industrija","33","17","Popravak i održavanje ostalih prijevoznih sredstava"
279,"C","Prerađivačka industrija","33","19","Popravak ostale opreme"
280,"C","Prerađivačka industrija","33","20","Instaliranje industrijskih strojeva i opreme"
281,"D","Opskrba električnom energijom, plinom, parom i klimatizacija","35","11","Proizvodnja električne energije"
282,"D","Opskrba električnom energijom, plinom, parom i klimatizacija","35","12","Prijenos električne energije"
283,"D","Opskrba električnom energijom, plinom, parom i klimatizacija","35","13","Distribucija električne energije"
284,"D","Opskrba električnom energijom, plinom, parom i klimatizacija","35","14","Trgovina električnom energijom"
285,"D","Opskrba električnom energijom, plinom, parom i klimatizacija","35","21","Proizvodnja plina"
286,"D","Opskrba električnom energijom, plinom, parom i klimatizacija","35","22","Distribucija plinovitih goriva distribucijskom mrežom"
287,"D","Opskrba električnom energijom, plinom, parom i klimatizacija","35","23","Trgovina plinom distribucijskom mrežom"
288,"D","Opskrba električnom energijom, plinom, parom i klimatizacija","35","30","Opskrba parom i klimatizacija"
289,"E","Opskrba vodom; uklanjanje otpadnih voda, gospodarenje otpadom te djelatnosti sanacije okoliša","36","00","Skupljanje, pročišćavanje i opskrba vodom"
290,"E","Opskrba vodom; uklanjanje otpadnih voda, gospodarenje otpadom te djelatnosti sanacije okoliša","37","00","Uklanjanje otpadnih voda"
291,"E","Opskrba vodom; uklanjanje otpadnih voda, gospodarenje otpadom te djelatnosti sanacije okoliša","38","11","Skupljanje neopasnog otpada"
292,"E","Opskrba vodom; uklanjanje otpadnih voda, gospodarenje otpadom te djelatnosti sanacije okoliša","38","12","Skupljanje opasnog otpada"
293,"E","Opskrba vodom; uklanjanje otpadnih voda, gospodarenje otpadom te djelatnosti sanacije okoliša","38","21","Obrada i zbrinjavanje neopasnog otpada"
294,"E","Opskrba vodom; uklanjanje otpadnih voda, gospodarenje otpadom te djelatnosti sanacije okoliša","38","22","Obrada i zbrinjavanje opasnog otpada"
295,"E","Opskrba vodom; uklanjanje otpadnih voda, gospodarenje otpadom te djelatnosti sanacije okoliša","38","31","Rastavljanje olupina"
296,"E","Opskrba vodom; uklanjanje otpadnih voda, gospodarenje otpadom te djelatnosti sanacije okoliša","38","32","Oporaba posebno izdvojenih materijala"
297,"E","Opskrba vodom; uklanjanje otpadnih voda, gospodarenje otpadom te djelatnosti sanacije okoliša","39","00","Djelatnosti sanacije okoliša te ostale djelatnosti gospodarenja otpadom"
298,"F","Građevinarstvo","41","10","Organizacija izvedbe projekata za zgrade 4120 Gradnja stambenih i nestambenih zgrada"
299,"F","Građevinarstvo","42","11","Gradnja cesta i autocesta"
300,"F","Građevinarstvo","42","12","Gradnja željezničkih pruga i podzemnih željeznica"
301,"F","Građevinarstvo","42","13","Gradnja mostova i tunela"
302,"F","Građevinarstvo","42","21","Gradnja cjevovoda za tekućine i plinove"
303,"F","Građevinarstvo","42","22","Gradnja vodova za električnu struju i telekomunikacije"
304,"F","Građevinarstvo","42","91","Gradnja vodnih građevina"
305,"F","Građevinarstvo","42","99","Gradnja ostalih građevina niskogradnje, dn"
306,"F","Građevinarstvo","43","11","Uklanjanje građevina"
307,"F","Građevinarstvo","43","12","Pripremni radovi na gradilištu"
308,"F","Građevinarstvo","43","13","Pokusno bušenje i sondiranje terena za gradnju"
309,"F","Građevinarstvo","43","21","Elektroinstalacijski radovi"
310,"F","Građevinarstvo","43","22","Uvođenje instalacija vodovoda, kanalizacije i plina i instalacija za grijanje i klimatizaciju "
