id,"city","zupanija","skupina"
203,"Ernestinovo","Osječko-baranjska","II."
204,"Barilovići","Karlovačka","II."
205,"Klakar","Brodsko-posavska","II."
206,"Legrad","Koprivničko-križevačka","II."
207,"Hercegovac","Bjelovarsko-bilogorska","II."
208,"Gornji Mihaljevec","Međimurska","II."
209,"Benkovac","Zadarska","II."
210,"Andrijaševci","Vukovarsko-srijemska","II."
211,"Antunovac","Osječko-baranjska","II."
212,"Garešnica","Bjelovarsko-bilogorska","II."
213,"Koprivnički Bregi","Koprivničko-križevačka","II."
214,"Skradin","Šibensko-kninska","II."
215,"Martijanec","Varaždinska","II."
216,"Pokupsko","Zagrebačka","II."
217,"Slatina","Virovitičko-podravska","II."
218,"Mala Subotica","Međimurska","II."
219,"Vukovar","Vukovarsko-srijemska","II."
220,"Netretić","Karlovačka","II."
221,"Vuka","Osječko-baranjska","II."
222,"Pribislavec","Međimurska","II."
223,"Topusko","Sisačko-moslavačka","II."
224,"Budinščina","Krapinsko-zagorska","II."
225,"Ilok","Vukovarsko-srijemska","II."
226,"Slunj","Karlovačka","II."
227,"Sirač","Bjelovarsko-bilogorska","II."
228,"Belišće","Osječko-baranjska","II."
229,"Otočac","Ličko-senjska","II."
230,"Čeminac","Osječko-baranjska","II."
231,"Breznica","Varaždinska","II."
232,"Nuštar","Vukovarsko-srijemska","II."
233,"Bizovac","Osječko-baranjska","II."
234,"Lobor","Krapinsko-zagorska","II."
235,"Muć","Splitsko-dalmatinska","II."
236,"Čazma","Bjelovarsko-bilogorska","II."
237,"Gola","Koprivničko-križevačka","II."
238,"Kula Norinska","Dubrovačko-neretvanska","II."
239,"Belica","Međimurska","II."
240,"Đakovo","Osječko-baranjska","II."
241,"Vrsi","Zadarska","II."
242,"Zagorska Sela","Krapinsko-zagorska","II."
243,"Unešić","Šibensko-kninska","II."
244,"Gornja Stubica","Krapinsko-zagorska","II."
245,"Petrijevci","Osječko-baranjska","II."
246,"Imotski","Splitsko-dalmatinska","II."
247,"Generalski Stol","Karlovačka","II."
248,"Bilje","Osječko-baranjska","II."
249,"Kotoriba","Međimurska","II."
250,"Kijevo","Šibensko-kninska","II."
251,"Drnje","Koprivničko-križevačka","II."
252,"Orle","Zagrebačka","II."
253,"Nova Gradiška","Brodsko-posavska","II."
254,"Gradec","Zagrebačka","II."
255,"Beli Manastir","Osječko-baranjska","II."
256,"Drniš","Šibensko-kninska","II."
257,"Promina","Šibensko-kninska","II."
258,"Prgomet","Splitsko-dalmatinska","II."
259,"Mursko Središće","Međimurska","II."
